"state","Pop_density","Month","Temperature"
"AL",40.3198828829023,"January",6.5
"AL",40.3198828829023,"February",8.69999980926514
"AL",40.3198828829023,"March",12.8999996185303
"AL",40.3198828829023,"April",17.2000007629395
"AL",40.3198828829023,"May",21.3999996185303
"AL",40.3198828829023,"June",25.2000007629395
"AL",40.3198828829023,"July",26.6000003814697
"AL",40.3198828829023,"August",26.2999992370605
"AL",40.3198828829023,"September",23.5
"AL",40.3198828829023,"October",17.5
"AL",40.3198828829023,"November",12.3000001907349
"AL",40.3198828829023,"December",8.19999980926514
"AK",0.497166041111938,"January",-22.1000003814697
"AK",0.497166041111938,"February",-20.1000003814697
"AK",0.497166041111938,"March",-15.1000003814697
"AK",0.497166041111938,"April",-6
"AK",0.497166041111938,"May",3.29999995231628
"AK",0.497166041111938,"June",9
"AK",0.497166041111938,"July",11.6000003814697
"AK",0.497166041111938,"August",10.1999998092651
"AK",0.497166041111938,"September",4.5
"AK",0.497166041111938,"October",-5.80000019073486
"AK",0.497166041111938,"November",-15.6999998092651
"AK",0.497166041111938,"December",-21.6000003814697
"AZ",27.690999564088,"January",4.90000009536743
"AZ",27.690999564088,"February",6.59999990463257
"AZ",27.690999564088,"March",8.80000019073486
"AZ",27.690999564088,"April",12.6999998092651
"AZ",27.690999564088,"May",17.5
"AZ",27.690999564088,"June",22.7999992370605
"AZ",27.690999564088,"July",25.3999996185303
"AZ",27.690999564088,"August",24.1500005722046
"AZ",27.690999564088,"September",20.7999992370605
"AZ",27.690999564088,"October",15.1999998092651
"AZ",27.690999564088,"November",9
"AZ",27.690999564088,"December",5.14999985694885
"AR",23.7705041650496,"January",3.29999995231628
"AR",23.7705041650496,"February",5.90000009536743
"AR",23.7705041650496,"March",10.8000001907349
"AR",23.7705041650496,"April",16.2999992370605
"AR",23.7705041650496,"May",20.7999992370605
"AR",23.7705041650496,"June",24.8999996185303
"AR",23.7705041650496,"July",27
"AR",23.7705041650496,"August",26.2000007629395
"AR",23.7705041650496,"September",22.6000003814697
"AR",23.7705041650496,"October",16.7000007629395
"AR",23.7705041650496,"November",10.5
"AR",23.7705041650496,"December",5.30000019073486
"CA",99.1774294869871,"January",6.80000019073486
"CA",99.1774294869871,"February",8.60000038146973
"CA",99.1774294869871,"March",10
"CA",99.1774294869871,"April",12.5
"CA",99.1774294869871,"May",15.8499999046326
"CA",99.1774294869871,"June",19.5500001907349
"CA",99.1774294869871,"July",23
"CA",99.1774294869871,"August",22.7000007629395
"CA",99.1774294869871,"September",20
"CA",99.1774294869871,"October",16
"CA",99.1774294869871,"November",10.5
"CA",99.1774294869871,"December",6.90000009536743
"CO",22.670514722034,"January",-4.59999990463257
"CO",22.670514722034,"February",-2
"CO",22.670514722034,"March",1.20000004768372
"CO",22.670514722034,"April",6
"CO",22.670514722034,"May",11.1000003814697
"CO",22.670514722034,"June",16.2000007629395
"CO",22.670514722034,"July",19.6500005722046
"CO",22.670514722034,"August",18.4499998092651
"CO",22.670514722034,"September",14
"CO",22.670514722034,"October",8.30000019073486
"CO",22.670514722034,"November",1.5
"CO",22.670514722034,"December",-3.40000009536743
"CT",287.886584406314,"January",-3.5
"CT",287.886584406314,"February",-2.40000009536743
"CT",287.886584406314,"March",2.45000004768372
"CT",287.886584406314,"April",8.10000038146973
"CT",287.886584406314,"May",13.8000001907349
"CT",287.886584406314,"June",18.6500005722046
"CT",287.886584406314,"July",21.7000007629395
"CT",287.886584406314,"August",20.8499994277954
"CT",287.886584406314,"September",16.75
"CT",287.886584406314,"October",11
"CT",287.886584406314,"November",5.5
"CT",287.886584406314,"December",-0.899999976158142
"DE",194.926704883575,"January",0.800000011920929
"DE",194.926704883575,"February",1.89999997615814
"DE",194.926704883575,"March",6.19999980926514
"DE",194.926704883575,"April",11.5
"DE",194.926704883575,"May",16.8999996185303
